author,title,description,url,urlToImage,publishedAt,content,source_id,source_name
Lisa Vanhala,"COP28: A year after climate change funding breakthrough, poor countries eye disappointment at Dubai summit","At the COP27 summit in Sharm El-Sheikh, Egypt, an agreement to establish a loss and damage fund was hailed as a major breakthrough on one of the trickiest topics in the UN climate change negotiations. In an otherwise frustrating conference, this decision in N…",https://phys.org/news/2023-11-cop28-year-climate-funding-breakthrough.html,https://scx2.b-cdn.net/gfx/news/hires/2023/climate-change-5.jpg,2023-11-10T16:38:04Z,"At the COP27 summit in Sharm El-Sheikh, Egypt, an agreement to establish a loss and damage fund was hailed as a major breakthrough on one of the trickiest topics in the UN climate change negotiations… [+7398 chars]",null,Phys.Org
https://www.facebook.com/bbcnews,What is COP28 in Dubai and why is it important?,The climate change summit comes after a year of weather extremes and broken temperature records.,https://www.bbc.co.uk/news/science-environment-67143989,https://ichef.bbci.co.uk/news/1024/branded_news/B695/production/_131514764_gettyimages-1265258740.jpg,2023-10-25T10:56:08Z,"World leaders are set to discuss tackling climate change at a big UN summit in Dubai.
It follows a year of extreme weather events in which many climate records have been broken. 
COP28 is the 28th … [+4734 chars]",bbc-news,BBC News
Zac Ntim,Lupita Nyong’o Joins Sudan’s Oscar Entry ‘Goodbye Julia’ As Exec Producer,"Lupita Nyong’o has joined Goodbye Julia, Sudan’s entry for this year’s Best International feature race at the Oscars, as an executive producer. Directed by Sudanese filmmaker Mohamed Kordofani in his feature film debut, the pic explores the events leading up …",https://deadline.com/2023/11/lupita-nyongo-sudan-oscar-goodbye-julia-exec-producer-1235598167/,https://deadline.com/wp-content/uploads/2022/10/lupita.jpg?w=1000,2023-11-09T13:02:36Z,"Lupita Nyong’o has joined Goodbye Julia, Sudan’s entry for this year’s Best International feature race at the Oscars, as an executive producer.
Directed by Sudanese filmmaker Mohamed Kordofani in hi… [+1776 chars]",null,Deadline
Andreas Wiseman,"Guy Pearce, DeWanda Wise & Tim Roth Heading For Supernatural Thriller ‘Killing Faith’, Pic Secures Interim Agreement For Early 2024 Shoot — AFM","EXCLUSIVE: Guy Pearce (Prometheus) and DeWanda Wise (Jurassic World Dominion) are attached to star in supernatural thriller Killing Faith, with Tim Roth (Pulp Fiction) in final negotiations to join. Ned Crowley (Middle Man) is writer-director on the feature w…",https://deadline.com/2023/11/dewanda-wise-guy-pearce-tim-roth-killing-faith-afm-movie-1235591532/,https://deadline.com/wp-content/uploads/2023/11/GUY-PEARCE-and-DeWANDA-WISE-and-Tim-Roth.jpg?w=1024,2023-11-03T14:33:23Z,"EXCLUSIVE: Guy Pearce (Prometheus) and DeWanda Wise (Jurassic World Dominion) are attached to star in supernatural thriller Killing Faith, with Tim Roth (Pulp Fiction) in final negotiations to join.… [+1507 chars]",null,Deadline
[Energy Central] Charley Rattan,Hyphen | Finance,Hyphen https://www.dbsa.org/press-releases/development-bank-southern-africa-and-hyphen-hydrogen-energy-partner-fund-sub-saharan  https://energycentral.com/c/cp/germany-eyes-namibias-green-hydrogen  https://energycentral.com/c/cp/namibian-green-hydrogen-invest…,https://energycentral.com/c/cp/hyphen,https://energycentral.com/sites/default/files/styles/og_meta/public/ece/node_main/2023/11/namhyph.jpg?itok=jPn-hsZ2,2023-11-03T22:44:48Z,"<li>Chief Executive OfficerVigilante Electric CooperativeDillon, Montana
</li><li>Engineer (Electrical - Transmission Planning)LCRAAustin, Texas
</li><li>Transmission Interconnection Specialist II/… [+1062 chars]",null,Energycentral.com
Yves Smith,Jim Chanos: “The Crypto Ecosystem Is Well-Suited for the Dark Side of Finance.”,"The famed short-seller talks Sam Bankman-Fried, why Wall Street is still so keen on crypto, and how technology is making us dumber",https://www.nakedcapitalism.com/2023/11/jim-chanos-the-crypto-ecosystem-is-well-suited-for-the-dark-side-of-finance.html,null,2023-11-10T09:28:51Z,"Yves here. Storied short seller Jim Chanos is being more polite than we have been about crypto. We have pointed out that its main uses are tax evasion, crime, and speculation, none of which are socia… [+20125 chars]",null,Nakedcapitalism.com
Science X,Inequality hotspot map shows where women in agriculture are hit the hardest by the climate crisis,"Threats posed by the climate crisis disproportionally affect certain communities and social groups that are more exposed. People living in low- and middle-income (LMIC) countries are at heightened risk. Within these countries, women typically face higher clim…",https://phys.org/news/2023-11-inequality-hotspot-women-agriculture-hardest.html,https://scx2.b-cdn.net/gfx/news/hires/2023/inequality-hotspot-map.jpg,2023-11-16T05:00:02Z,Threats posed by the climate crisis disproportionally affect certain communities and social groups that are more exposed. People living in low- and middle-income (LMIC) countries are at heightened ri… [+5309 chars],null,Phys.Org
null,Africa: Big Shortfall in Climate Funding Needed By Developing Countries Is 'Hugely Worrying' - UNEP,"[Daily Maverick] The funding developing countries need to deal with the present impacts of climate change (adaptation finance) is 50% bigger than previously thought, with Unep estimating the current adaptation finance gap is now $194bn - $366bn per year.",https://allafrica.com/stories/202311060087.html,https://cdn08.allafrica.com/static/images/structure/aa-logo-rgba-no-text-square.png,2023-11-06T06:10:19Z,"The funding developing countries need to deal with the present impacts of climate change (adaptation finance) is 50% bigger than previously thought, with Unep estimating the current adaptation financ… [+1388 chars]",null,AllAfrica - Top Africa News
null,Africa: Malawi to Benefit From K906bn Saudi Govt Development Fund for Africa,"[Nyasa Times] President Dr Lazarus McCarthy Chakwera is among African leaders whose countries will get a K906 million cheque from the Saudi government for various development projects, a Saudi official announced on Thursday.",https://allafrica.com/stories/202311100046.html,https://cdn08.allafrica.com/static/images/structure/aa-logo-rgba-no-text-square.png,2023-11-10T06:23:02Z,"President Dr Lazarus McCarthy Chakwera is among African leaders whose countries will get a K906 million cheque from the Saudi government for various development projects, a Saudi official announced o… [+993 chars]",null,AllAfrica - Top Africa News
Horatiu Boeriu,BMW ZA IT Hub South Africa Builds The Digital Twin,"Our next stop in our South African trip takes us to Pretoria to visit a BMW Digital Hub. Opened in 2024, BMW Group IT Hub South Africa is the oldest and largest of three IT Hubs...",https://www.bmwblog.com/2023/11/10/bmw-za-it-hub-south-africa-builds-the-digital-twin/,https://cdn.bmwblog.com/wp-content/uploads/2023/11/bmw-it-hub-za-south-africa-02.jpg,2023-11-11T01:55:00Z,"Our next stop in our South African trip takes us to Pretoria to visit a BMW Digital Hub. Opened in 2024, BMW Group IT Hub South Africa is the oldest and largest of three IT Hubs within the BMW Group.… [+8608 chars]",null,BMWBLOG
null,Africa: Smallholder Farmers Gain Least From International Climate Funding - Study,[IPS] Nairobi -- Smallholder farmers from the Global South benefit from a grossly disproportionate 0.3% of international climate finance despite producing a third of the world's food and despite holding the key to climate-proofing food systems.,https://allafrica.com/stories/202311150021.html,https://cdn03.allafrica.com/download/pic/main/main/csiid/00630293:6dccc2813557a7ccc0a2e1b88048fdcd:arc614x376:w1200.jpg,2023-11-15T04:37:49Z,Nairobi — Smallholder farmers from the Global South benefit from a grossly disproportionate 0.3% of international climate finance despite producing a third of the world's food and despite holding the… [+9338 chars],null,AllAfrica - Top Africa News
"Simi Thambi​, Contributor, 
 Simi Thambi​, Contributor
 https://www.forbes.com/sites/simithambi/",The Mystery Of The Missing $100 Billion Integral To COP28 Agenda,"Fifteen years ago, developed countries pledged to mobilize $100 billion annually by 2020 to support climate action in developing nations.",https://www.forbes.com/sites/simithambi/2023/11/10/the-mystery-of-the-missing-100-billion-integral-to-cop28-agenda/,https://imageio.forbes.com/specials-images/imageserve/654e568450294fe2b83ff02b/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2023-11-10T16:21:25Z,"This is the first article in a series on Conferences of the Parties (COP) 28.
Climate finance and the $100 billion goal (Photo Illustration by Matt Cardy/Getty Images)
Getty Images
Wealthy countri… [+5241 chars]",null,Forbes
RT,Economic decline behind West’s weaponization of currencies – Moscow,"Western states use economic sanctions to stay in power and halt the development of rivals, Russian Finance Minister Anton Siluanov claims Read Full Article at RT.com",https://www.rt.com/business/586679-west-economies-weaponization-currencies/,https://mf.b37mrtl.ru/files/2023.11/article/6548e148203027608739d40e.jpg,2023-11-06T12:57:11Z,"Western countries have been losing their economic advantage to the East, which is why they now use economic sanctions to halt the development of their rivals, Russian Finance Minister Anton Siluanov … [+2737 chars]",rt,RT
Jake Bittle,The decade-old broken climate promise that looms over COP28,New data suggest wealthy countries may belatedly be providing a promised $100 billion in climate-related aid. But they’ve eroded trust in the process.,http://grist.org/international/international-climate-finance-adaptation/,https://grist.org/wp-content/uploads/2023/11/Hillary-Clinton-at-COP15.jpg,2023-11-17T09:45:00Z,"The collapse of negotiations at the 2009 United Nations climate conference in Copenhagen, Denmark, had repercussions that have shaped international climate finance to this day. Rich countries like th… [+12814 chars]",null,Grist
Tom Athanasiou,Emissions Are a Rich People Problem,"In 1990, the Intergovernmental Panel on Climate Change released its first report on global warming—and by so doing started the clock on our collective response. In the three decades since then, humanity—as nations, peoples, and corporations—has spewed more ca…",https://newrepublic.com/article/176558/emissions-rich-people-problem,https://images.newrepublic.com/8dc65ff455b5021419fc0f73c66140e8a522e670.jpeg?w=1200&h=630&crop=faces&fit=crop&fm=jpg,2023-11-06T11:00:00Z,"Gordon Brown, the former British Prime Minister, is campaigning for a small international tax on oil and gas export revenue. William Ruto, the President of Kenya, is calling for a more ambitious pack… [+1925 chars]",null,The New Republic
RT,Russia ramps up trade with Africa and Asia – customs data,"Moscow has been actively diversifying trade due to Western sanctions, customs data shows Read Full Article at RT.com",https://www.rt.com/business/587260-russia-trade-growth-asia-africa/,https://mf.b37mrtl.ru/files/2023.11/article/6553a81520302715546167fd.jpg,2023-11-19T12:22:02Z,"Russia’s economic cooperation with Asian and African countries has continued to grow while trade with the European Union has declined, according to the latest report by the Federal Customs Service (F… [+1648 chars]",rt,RT
Ravi Venkatesan,New Frontiers in Low-Cost Clean Tech,"To accelerate the uptake of renewables, leaders from all quarters must collaborate to make clean energy more affordable. Working together to expand access to – and lower the costs of – battery energy storage systems, for example, could ignite demand, stimulat…",https://www.project-syndicate.org/commentary/affordable-accessible-battery-energy-storage-will-accelerate-renewable-uptake-by-ravi-venkatesan-2023-11,https://webapi.project-syndicate.org/library/023ca92c7411e9e959d363bbdbc0268c.2-1-super.1.jpg,2023-11-03T13:09:56Z,"To accelerate the uptake of renewables, leaders from all quarters must collaborate to make clean energy more affordable. Working together to expand access to  and lower the costs of  battery energy s… [+5688 chars]",null,Project Syndicate
"Deepali Khanna, Contributor, 
 Deepali Khanna, Contributor
 https://www.forbes.com/sites/deepalikhanna/",Turning Crisis Into Hope: Transformative Collaborations Inspire Positive Impact,"These crises, which have hit the Global South the hardest, are widening existing inequalities and reversing decades of hard-won progress towards the Sustainable Develo...",https://www.forbes.com/sites/deepalikhanna/2023/11/06/turning-crisis-into-hope-transformative-collaborations-inspire-positive-impact/,"https://imageio.forbes.com/specials-images/imageserve/6549be74604c5c1e34f13eae/0x0.jpg?format=jpg&crop=731,411,x0,y0,safe&height=900&width=1600&fit=bounds",2023-11-07T04:38:04Z,"Over the past few years, the world has faced a myriad of challenges. The Covid-19 pandemic was the greatest health crisis of our time, leading to severe economic and social disruptions. At the same t… [+3731 chars]",null,Forbes
anthonypauldalessandro,"Focus Features Takes U.S. To Edward Berger’s Ralph Fiennes, Stanley Tucci Papal Thriller ‘Conclave’","More movies potentially for next year’s starved 2024 theatrical release calendar: Focus Features has takenU.S. distribution rights to All Quiet on the Western Front Oscar winning filmmaker Edward Berger’s papal thriller, Conclave. The movie stars a slew inclu…",https://deadline.com/2023/11/focus-features-conclave-edward-berger-ralph-fiennes-stanley-tucci-1235599489/,https://deadline.com/wp-content/uploads/2023/03/3K1A9962.jpg?w=1024,2023-11-10T17:15:00Z,More movies potentially for next year’s starved 2024 theatrical release calendar: Focus Features has takenU.S. distribution rights to All Quiet on the Western Front Oscar winning filmmaker Edward Ber… [+3139 chars],null,Deadline
Kate Hampton,What We Can Do About Food Insecurity,"With a concerted, coordinated global effort, the tide can be turned against global hunger and malnutrition. But as new conflicts and the effects of climate change aggravate food insecurity, world leaders must make progress on four fronts.",https://www.project-syndicate.org/commentary/london-food-security-summit-must-address-four-issues-by-kate-hampton-1-and-david-miliband-2023-11,https://webapi.project-syndicate.org/library/44adc60207f8f06cd5f19f0808f7a61d.2-1-super.1.jpg,2023-11-17T18:43:48Z,"With a concerted, coordinated global effort, the tide can be turned against global hunger and malnutrition. But as new conflicts and the effects of climate change aggravate food insecurity, world lea… [+5834 chars]",null,Project Syndicate
Kenneth Rogoff,The Stunning Resilience of Emerging Markets,"Contrary to many analysts’ expectations, emerging markets have not spiraled into a debt crisis. This can be partly attributed to central banks’ decision to reject populist policy proposals in favor of a modern iteration of macroeconomic orthodoxy.",https://www.project-syndicate.org/commentary/macroeconomic-orthodoxy-saved-emerging-markets-from-debt-crisis-by-kenneth-rogoff-2023-10,https://webapi.project-syndicate.org/library/520dd00b31f99ac8c7dbc98e908adf21.2-1-super.1.jpg,2023-10-31T15:15:29Z,"Contrary to many analysts expectations, emerging markets have not spiraled into a debt crisis. This can be partly attributed to central banks decision to reject populist policy proposals in favor of … [+6159 chars]",null,Project Syndicate
"Tilak Doshi, Contributor, 
 Tilak Doshi, Contributor
 https://www.forbes.com/sites/tilakdoshi/",Climate Change Hurts The Poor: But Not The Way You Think It Does,Africa’s poor will be hardest hit not by ‘climate change’ but by the policies pushed by the West’s green lobby. African forests and drinking water will diminish further.,https://www.forbes.com/sites/tilakdoshi/2023/10/26/climate-change-hurts-the-poor-but-not-the-way-you-think-it-does/,https://imageio.forbes.com/specials-images/imageserve/653ac04457fa62e2bea0c083/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2023-10-26T19:49:07Z,"Who Needs A Tractor?
Ancient Egyptian Fresco of Husband and Wife Plowing Fields (Photo by Bojan Brecelj/CORBIS/Corbis ... [+] via Getty Images)
Corbis via Getty Images
Climate impacts hit the worl… [+10109 chars]",null,Forbes
null,[Removed],[Removed],https://removed.com,null,1970-01-01T00:00:00Z,[Removed],null,[Removed]
Steve Hanley,"Nigeria Has Ended Fossil Fuel Subsidies, Giving Solar Power A Boost","Solar power in Nigeria is experiencing a breakthrough moment. The poster child for neo-colonialism in Africa, Nigeria is that continent’s ... [more]
The post Nigeria Has Ended Fossil Fuel Subsidies, Giving Solar Power A Boost appeared first on CleanTechnica.",https://ctfresh.wpengine.com/2023/11/08/nigeria-has-ended-fossil-fuel-subsidies-giving-solar-power-a-boost/,https://ctfresh.wpengine.com/wp-content/uploads/2023/10/CleanTechnica-Solar-Panel-Farm-3-scaled-1.jpg,2023-11-08T12:55:35Z,"Sign up for daily news updates from CleanTechnica on email. Or follow us on Google News!
Solar power in Nigeria is experiencing a breakthrough moment. The poster child for neo-colonialism in Africa,… [+7516 chars]",null,Wpengine.com
Eyal Weizman,Exchange Rate,"However the conflict ends, with or without Hamas in power (and I bet on the former), Israel won’t be able to avoid...",https://www.lrb.co.uk/the-paper/v45/n21/eyal-weizman/exchange-rate,https://www.lrb.co.uk/storage/social_image_on_bg/images/7/9/4/0/29840497-1-eng-GB/0337edee0146-78032efcc2e12c0d2fb4833d7ce9cc92.jpg,2023-10-25T14:13:50Z,"In​ the spring of 1956, eight years into the Nakba, a group of Palestinian fedayeen crossed the ploughed ditch which was all that separated Gaza from the state of Israel. On one side of the ditch wer… [+15173 chars]",null,London Review of Books
null,West Africa: Using West Africa Capital Market to Bridge Infrastructure Deficit in Region,"[Leadership] Infrastructure investments in West Africa have not kept pace with growth in demand, creating a huge deficit.",https://allafrica.com/stories/202311030067.html,https://cdn08.allafrica.com/static/images/structure/aa-logo-rgba-no-text-square.png,2023-11-03T06:48:59Z,"Infrastructure investments in West Africa have not kept pace with growth in demand, creating a huge deficit.
Against the backdrop of continued economic growth in the region, the need for enabling in… [+3453 chars]",null,AllAfrica - Top Africa News
"Karen Hofman, Professor and Programme Director, SA MRC Centre for Health Economics and Decision Science - PRICELESS SA (Priority Cost Effective Lessons in Systems Strengthening South Africa), University of the Witwatersrand, Susan Goldstein, Associate Professor in the SAMRC Centre for Health Economics and Decision Science - PRICELESS SA (Priority Cost Effective Lessons in Systems Strengthening South Africa), University of the Witwatersrand",Diabetes is South Africa's second biggest killer disease: hiking the sugar tax would help,South Africa is suffering from an diabetes epidemic with 12 percent of the population suffering from this disease. The authors argue that  the minister of finance must increase the sugar tax to 20%,https://theconversation.com/diabetes-is-south-africas-second-biggest-killer-disease-hiking-the-sugar-tax-would-help-216456,https://images.theconversation.com/files/556158/original/file-20231026-19-7usid3.jpg?ixlib=rb-1.1.0&q=45&auto=format&w=1356&h=668&fit=crop,2023-10-30T16:15:23Z,Death rates in South Africa have declined slightly during the past few years. But the country faces a steady rise in both death and disability caused by increases in non-communicable diseases such as… [+6029 chars],null,The Conversation Africa
Mihir Shekhar Bhonsale,"Unity, not division, could help evolve climate, biodiversity finance roadmap","The proposed Loss and Damage Fund to be delivered by the World Bank is welcome, but it should not be considered the only source of climate finance",https://www.moneycontrol.com/news/opinion/unity-not-division-could-help-evolve-climate-biodiversity-finance-roadmap-11734901.html,https://images.moneycontrol.com/static-mcnews/2022/11/climate-change-rep-770x433.jpg,2023-11-14T03:20:53Z,"With imbalances in nature and environmental hazards due to climate change and the loss of biodiversity, maintaining the earths temperature rise at 1.5° Celsius above its pre-industrial level is provi… [+5515 chars]",null,Moneycontrol
Mimi Mefo Takambou,Can African leaders extend the US-Africa trade program?,"Delegates from Africa and the US have been meeting in Johannesburg to discuss the future of the African Growth and Opportunity Act (AGOA), Washington's flagship trade program for the continent.",https://www.dw.com/en/can-african-leaders-extend-the-us-africa-trade-program/a-67299798,https://static.dw.com/image/63157637_6.jpg,2023-11-03T17:15:00Z,South Africa is hosting a US-sub-Saharan Africa trade forum to discuss the future of the African Growth and Opportunity Act (AGOA)  a program that provides eligible countries in the region with tarri… [+2481 chars],null,DW (English)
Cointelegraph By David Attlee,Kenyan lawmakers ask local Blockchain Association to come up with crypto bill,The National Assembly's Departmental Committee on Finance and National Planning has directed the Blockchain Association to prepare the first draft of “what could become a virtual asset service provider's bill.”,https://cointelegraph.com/news/kenyan-lawmakers-blockchain-association-crypto-bill,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2023-11/d2657988-ac30-4be0-89cb-51f8bedbe377.jpg",2023-11-07T08:56:11Z,"Kenya might become the first country in the world where the industrys representatives would develop the regulatory framework for crypto. According to the Blockchain Association of Kenya (BAK), The Na… [+1907 chars]",null,Cointelegraph
null,Africa: Lack of Funding Could Sink Africa's Ocean Protection Efforts,Analysis - Africa must invest in 'life below water' - the Sustainable Development Goal that can unlock economic and climate benefits.,https://allafrica.com/stories/202311170006.html,https://cdn08.allafrica.com/static/images/structure/aa-logo-rgba-no-text-square.png,2023-11-17T04:37:44Z,"Africa must invest in 'life below water' - the Sustainable Development Goal that can unlock economic and climate benefits.
Over 11 million tonnes of plastic are dumped into the world's oceans annual… [+6152 chars]",null,AllAfrica - Top Africa News
"John Hayward, John Hayward",South Africa to Break Paris Agreement Promises Because It Cannot Shut Down Coal,Three senior South African government officials told Reuters on Thursday that South Africa will miss its climate change targets under the Paris Agreement because shutting down the country’s eight coal-fired power plants would cause a massive energy crisis.,https://www.breitbart.com/africa/2023/11/10/south-africa-break-paris-agreement-promises-because-cannot-shut-down-coal/,https://media.breitbart.com/media/2023/11/south-africa-climate-targets-steam-billows-chimneys-at-coal-fired-lethabo-power-station-vereeniging-640x335.jpg,2023-11-10T20:08:02Z,Three senior South African government officials told Reuters on Thursday that South Africa will miss its climate change targets under the Paris Agreement because shutting down the countrys eight coal… [+2481 chars],breitbart-news,Breitbart News
https://www.facebook.com/bbcnews,UK government plans radical shake-up of foreign aid for climate change disasters,A new £150m fund will help poorer countries prepare for humanitarian disasters and access money faster.,https://www.bbc.co.uk/news/uk-67456174,https://ichef.bbci.co.uk/news/1024/branded_news/1594B/production/_131759388_1a636c9b4eb9b670675a7f31d81ab47f9af04fe0.jpg,2023-11-18T02:34:35Z,"The UK government is to spend millions of pounds helping countries prepare for future humanitarian disasters in a radical shake-up of its development policy, the BBC has learned. 
A new £150m fund w… [+3767 chars]",bbc-news,BBC News
Barry Ritholtz,"Transcript: Linda Gibson, CEO PGIM Quantitative Solutions","﻿   The transcript from this week’s, MiB: Linda Gibson, CEO, PGIM Quantitative Solutions, is below. You can stream and download our full conversation, including any podcast extras, on Apple Podcasts, Spotify, YouTube, and Bloomberg. All of our earlier podcast…",https://ritholtz.com/2023/11/transcript-linda-gibson/,https://ritholtz.com/wp-content/uploads/2023/02/Mib-tile.png,2023-11-14T13:30:53Z,"The transcript from this weeks, MiB: Linda Gibson, CEO, PGIM Quantitative Solutions, is below.
You can stream and download our full conversation, including any podcast extras, on Apple Podcasts, Spo… [+54172 chars]",null,Ritholtz.com
